,text,sentiment
54,22-й на средней северной нахожусь.,0
55,23 маршрут 23 с ленинского проспекта без команды не отправляться.,0
56,23-й 2-3 это академическая без команды не отправляться.,0
57,23-й с профсоюзной без команды не отправляться!,0
58,23-й фёдор слушаю.,0
59,2330 смирнов с третьего пути с которого мы хотели с тобой брать возьми на 16 путь 14:30 там машинист смирнов на 16 путь там перевозы небольшие у него.,0
60,2336 2342 будем брать на 2 путь а остановку по удалению за 2336 с четвертого пути дальше.,0
61,24 февраля.,0
62,24-9 отправляйтесь с алексеевича до выставки.,0
63,24-й путь остановка понятно.,0
64,2430 Покачалов слушаю вас.,0
65,25 км в час скорость выполнять еще километр потому что у меня поезд длиной километр.,0
66,27 киловольт он моет электровоз я не знаю как бы нормально это нет?,2
67,27 киловольт он моет электровоз.,2
68,2707-й диспетчер слушаю.,0
69,28-ом километре какой пикет?,0
70,28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист Саве?лов.,0
71,28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист Савёлов.,0
72,28.12.2022г. Время 11 часов 13 минут приказ No26 станции Автозаводская машинисту 11го маршрута отправиться со 2 главного станционного пути станции Автозаводская при запрещающем показании светофора АВ258мг со скоростью не более 20кмч до следующего светофора диспетчер Игнатова машинист Савёлов.,0
73,29-86 значит помощник прибежал значит там труп сейчас он его под платформу уберет и тогда мы отправляем.,2
74,2:21 документы предупреждены на руках готовы к отправлению.,1
75,3 вагон заморожен.,2
76,3.31 время отправления.,0
77,309-й слушает вас не отвечал ездил на станцию октябрьский.,0
78,31-й километр.,0
79,317 6нм вам белый 2нн4а вам красный маршрут готов дежурный Холодков.,0
80,3441 1 слушаю.,0
81,3441 ваше местонахождение?,0
82,3441 где находитесь?,0
83,3441 где находишься?,0
84,3441 к отправлению готов.,0
85,3441 нахожусь на 111-м километре.,0
86,3441 нахожусь на 115-м километре.,0
87,3441 нахожусь на 118-м километре.,0
88,3441 нахожусь на 126-м километре.,0
89,3441 нахожусь на 134-м километре.,0
90,3441 нахожусь на 138 километре.,0
91,3441 нахожусь на 144-м километре. ,0
92,3441 начать движение по однопутному участку или двухпутному?,0
93,3441 по прибытию на третий путь станции стаханов докладываю.,0
94,3441 почему от вас идет вызов?,0
95,3441 прибыл на третий пульт станции стаханов.,0
96,3441 прибыл на четвертый путь станции димитров узловой.,0
97,3441 продолжаем движение ограничение для вас 75.,0
98,3441 с четвертого пути выходной сигнал открыт маршрут отправления готов.,0
99,3441 слушаю.,0
100,3441 слушаю.  ,0
101,3441 только что проследовал остановочный пункт 146 километр.  ,0
102,3441-й ваше местонахождение?,0
103,3441-й нахожусь на 131-м километре.,0
104,3441-й нахожусь на четвертом пути станции димитров.,0
105,3441-й у вас по станции димитров - пассажирский техническая стоянка. ,0
106,350 метров в час.,0
107,3704 машина Бруера 104-й километр 3-й путь слушаю.,0
108,3704 машина Бруера 3-й путь 104-й километр.,0
109,3704 машина Бруера 3-й путь.,0
110,3704 машинист Бруер 105-й километр слушаю вас.,0
111,3704 машинист Бруер встретимся в Злобино.,0
112,375 машина шагает.,0
113,375 машинист шагов первый пульс станции канаш отвечаю.,0
114,39-й вы меня поняли?,2
115,39-й отправляйтесь!,0
116,39-й пребывающий на октябрьской ответе диспетчеру.,0
117,4-4 машина из михаила за м-13.,0
118,4-4 машинист михаев по 3-й пути.,0
119,4-4 машинист михаев по третьему пути.,0
120,4-4 михайлов к пто подведите пути к пто подъезжать.,0
121,4-ка второй главный кунцево-1.,0
122,40 минут осталось.,0
123,42-й километр подходим к входному светофору разъезда.,0
124,4203 вы на каком пути в станции димитров-пассажирский находитесь?,0
125,430-го Покачалов 2430.,0
126,44 426 228.,0
127,44 первый на 156.,0
128,44-й маршрут вы высаживайте пассажиров следуйте резервам на перегон.,0
129,44-й шабловская без команды не отправляться.,0
130,4441 вы прибыли на 3-й путь стаханова?,0
131,45-й с китай-города не отправляться!,0
132,45-й. где вы сейчас находитесь?,0
133,450 метров до запрещающейся скорости.,0
134,4:30 смирнов взять на 16 путь.,0
135,5 лет их никуда не выкинешь из жизни ты сам прекрасно понимаешь.,0
136,5 октября возвращались с мужем из ессентуков в москву.,1
137,5-6 михайлов подъезжаем к м3 к пто.,0
138,5-й станционный.  ,0
139,5.308 км.,0
140,50 километров в час принимаю вас на 3-й путь.,0
141,51 маршрут дежурная доложила что при въезде на станцию вашего состава какой-то там ящик упал и раздался хлопок значит осматривайте.,0
142,53-й 5-3 стойте не подвигайтесь к нам серёмушкам остановитесь вам будут перезаделать маршрут.,0
143,53-й маршрут 5-3 с академической без команды не отправляйтесь.,0
144,53-й. так серёмушки первый высадили пассажиров?,0
145,55-й. 55-й маршрут на октябрьской высаживайте пассажиров затормаживайте кабину идёте на второй путь в хвост и включайте 61-го маршрута поняли?,0
146,57-й нашу стретьяковска без команды не отправляться.,0
147,58-58 кто просит работников полиции?,0
148,58-59 принимаю вас с первого главного на второй в антиевске выходной не 2 закрыт.,0
149,59 человек понимаете?,0
150,590-108 в 7-м сазранском пенз 2.,0
151,6 августа 3 вагон  первый класс.,2
152,6 место 3 вагон.место отвратительное.,2
153,6-й путь готовы отправляться?,0
154,6-й путь станции камерска перед выходным светофором.,0
155,60-88-й афанасьев как насчёт вызова полиции где-нибудь на платформу хотя бы?,0
156,6001 без команды со станции 164 км не отправляться.,0
157,6001 вас слушаю.,0
158,6001 вы где находитесь на каком километре?,0
159,6001 где находитесь?,0
160,6001 грибычин - стаханов.,0
161,6001 диспетчер. ,0
162,6001 на 164 на 3 маршрут готов.  ,0
163,6001 номер... машинист поезд номер 2.,0
164,6001 по перегону стаханов-софиевка ограничение 80.,0
165,6001 с шестого пути выходной сигнал открыт.,0
166,6001 что у вас там случилось?,0
167,6001-й ввиду ложной занятости на четвертом пути станции апостоловка принимаю вас по пригласительному.,0
168,6001-й где находитесь?,0
169,6012 где находитесь?,0
170,6012 прибыла скорая помощь и милиция?,0
171,6012 проследовал платформу микрорайон.,0
172,6012 с первого пути станции димитров-пассажирский отправление разрешаю.,0
173,6012 со второго пути выходной сигнал открыт маршрут отправления готов.,0
174,6012-й вы находитесь на первом пути станции димитров-пассажирский?,0
175,6012-й на 2-й путь димитров-сортировочный ждем отправления.,0
176,6012-й разрешите отправление с 1-го димитров-пассажирский.,0
177,6025 вас плохо слышно.,0
178,6025 где находитесь?,0
179,6025 диспетчер разрешите отправление с 5-го пути станции стаханов.,0
180,6025 из первого пути станции димитров пассажирский отправление разрешаю.,0
181,6025 освободили однопутный участок перегон софиевка-стаханов.,0
182,6025 побыстрее освобождаем однопутный участок.,0
183,6025 повторите где находитесь?,0
184,6025 с 5-го пути станции стаханов отправление разрешаю.,0
185,6025 я вам уже давно сказал что стоянка одна минута отправляемся.,0
186,6025-й где находитесь?,0
187,61 вас не понял.,0
188,61 маршрут 61 без команды не отправляйтесь.,0
189,61 маршрут высаживайте пассажиров.,0
190,61 маршрут стоит на втором пути в 6 кабину прибудете и включите диспетчера состав стоит без машиниста.,0
191,61 маршрут?,0
192,61-й надо завести вам лично на третий станционный путь.,0
193,61-й прибыли на 164 километр?,0
194,61-й что вы поняли?,0
195,61-м оказать помощь правильно?,0
196,6101 для вас по перегонам рыбальск 164-й километр ограничение 90.  ,0
197,62 где находитесь?,0
198,62 у вас есть остановка по станции стаханов?,0
199,62-й восстановительный поезд дождались можно продолжать дальнейшее движение.,0
200,62-й где находитесь?,0
201,62-й диспетчер. ,0
202,62-й можно продолжать дальнейшее движение.,0
203,62-й нахожусь на 10-м пикете 132-го километра.,0
204,62-й первый путь проследуем на проход.,0
205,62-й по прибытию на 1-й главный путь сам в софиевку докладывай.,0
206,62-й поезд нахожусь первый путь апостоловку разрешите отправление в сторону софийский подскажите по софийский путь.,0
207,62-й предвходной стаханово.,0
208,62-й прибываю.,0
209,62-й прохожу опасное место перегон апостоловка-софиевка скорость 40.,0
210,62-й рыбальск 6-й путь прибыли.,0
211,62-й слушаю. ,0
212,62-м подскажите пожалуйста ограничение димитров пассажирских и димитров узловой.,0
213,63 вы к первому пути станции софиевка приближаетесь?,0
214,63 где находитесь?,0
215,63 прохожу по первому пути апостоловка.,0
216,63 прохожу по первому пути стаханов.,0
217,63-й где находитесь?,0
218,63-й машинист где находитесь?,0
219,63-й на 1-й путь софиевки прибыли.,0
220,63-й по стаханово подскажите путь.,0
221,63-й повторите еще раз где находитесь.,0
222,63-й предвходной димитров - пассажирский.,0
223,63-й разрешаю вам отправиться с 1-го пути станции софиевка.,0
224,63-й слушаю по димитров-пассажирскому есть стоянка у вас?,0
225,63-й у вас по стаханово стоянка есть?,0
226,6334 по первому главному 6919 посмотрите что там где помощник машинист что случилось почему по рации не отвечают пусть вызовут диспетчера сможете как-нибудь чтобы рацию включили?,0
227,64-й километр прибываем на третий путь.,0
228,64-й километр третьего пути.,0
229,65-55-65-й. доброй ночи иван дзейвко принимаю вас на второй путь платформы.,0
230,66-й здесь диспетчеру ответьте?.,0
231,66-й отвечаю федотов короче жертв нету вагоны сошли с рельс но не перевернулись на бок не упали.,0
232,677 Коверев.,0
233,68-58 машинист остановки взрыв стоп крана не дают уехать.,0
234,68-59 дальше поедете сегодня?,0
235,6805 машинист фамилию подскажите свою.,0
236,6919 в чем причина почему так долго стоите?,0
237,6919 за вами два пассажирских международных стоят почему не отвечаете?,2
238,6919 кунцево-1.,0
239,6919 сейчас тормоза откачиваем едем.,0
240,6919 — электропоезд пассажирский по кунцево-1 подложите башмаки катимся назад.,0
241,695-й диспетчер.,0
242,7 вагон всё чинно  аккуратно.,1
243,7 февраля в 9.40 произошло отключение линии выяснилось что нам сбили опору на 1067 километре было 10 киловольт.,0
244,7 часов 30 минут скорость установленная.,0
245,71-й километр.,0
246,746машинист ушаков поехали на первый путь.,0
247,8 2 2 все установлена скорость следуем на более 60 по перегону. ,0
248,8.00 по москве.,0
249,80 путь второй.,0
250,84-й. пятый вагон.,0
251,861 мой локомотив.,0
252,9-501 машинист демидов.,0
253,9-501 на третьем пути.,0
254,9.52 познала все в москве стоянка будет?,0
255,9501 из турбатского на купчинскую.,0
256,: очень холодно!!!,2
257,?? вот оно мне надо чувство вины от ваших услуг?,2
258,?Диспетчер 135 поезд 11й маршрут нахожусь на 3 станционном пути станции Каховская у светофора КХ3 готов к работе на линии.,0
259,?а если такие работают какая безопасность?!,2
260,?в оборот пускает мои деньги??,2
261,?платите процент мне!!,2
262,?почему нет никакого руководства на станции чкаловская города чкаловский!!!!!???,2
263,?распускают руки и бьют людей!!!?,2
264,?ужас!билет купитьденьги сразуа билет сдалжди месяца почему??,2
265,?что вы делаете с моими деньгами??,2
266,?что себе позволяет данная сотрудница???,2
267,N1 зеленый проезжаем.,0
268,Ps: сын уехал на учёбу в рязань только после болезни.,2
269,[мы крайне возмущены!,2
270,«теперь всегда так будет» сообщили нам.,2
271,А апофеозом стал выход из вагона.,2
272,А билеты то мне на что теперь приобретать?,2
273,А в билете указана цена с кондиционером и биотуалетом.,2
274,А в коридоре еле заряд идёт!,2
275,А в морозы первый вагон покрыт инием.,2
276,А в самолете таких проблем нет.,1
277,А в чем проблема?,0
278,А в электричках двери не закрываются вагоны не отваливаются.,2
279,А вас радует ваша работа?,0
280,А ведь поезд стоит всего пять минут.,2
281,А возможно просто их собственная инициатива?,2
282,А вот в 2 года цена как на взрослого.,2
283,А вот в уссурийске за них пизда там они доебываются пиздец.,2
284,А вот вернуть онлайн уже не получится.,2
285,А вот все им мало!,2
286,А вот именно предпоследний начальник депо конечно взялся за меня так плотненько.,2
287,А вот именно предпоследний начальник депо конечно взялся за меня так плотненько. ,2
288,А вот по твоим заявлениям ты мне показывал у тебя есть рапорта о том что ты просил руководства разобраться с проблемами именно с нарушениями нормы санпина и охраны труда.,0
289,А вот позвоните в печорскую или главному инженеру дайте.,0
290,А вот так там ограничения.,0
291,А вот эти затраты которые мы принесли она их никак не подтверждает.,2
292,А вот этот совещание от 18 июля.,0
293,А вот я вам говорю что смотрите а я вам опять говорю что тот же бензин вот как экономист проверил бензин.,2
294,А все ваши самые заветные мечты сбываются!!,1
295,А все потому что закрыли переезд!,2
296,А всё почему?,0
297,А второй вопрос то что необходимо обосновать.,0
298,А вчера его отменили.,1
299,А вы вечером будете выезжать или утром?,0
300,А вы докажите мне что действительно он потратил столько-то часов.,0
301,А вы железную дорогу строите?,0
302,А вы знаете что там предупреждение есть?,2
303,А вы как экономист дали такую информацию.,0
304,А вы кричите в эфир оскорбляете машинистов.,2
305,А вы кто такой?,2
306,А вы кто?,0
307,А вы мне приказ пришлите?,0
308,А вы пассажиры как хотите там разбирайтесь!,2
309,А вы слышали как я с ним разговаривала?,2
310,А вы согласие получили на это от руководства?,0
311,А вы через горе-доложение.,2
312,А вы что ничего не хотите?,2
313,А вы это предоставляете вы говорите что экономисты ч6 точнее работники не про экономиста работники ч6никова идентифицированные люди предоставляют непроверенную информацию.,2
314,А вы этого не сделали.,2
315,А где вот этот запрос-то у вас?,0
316,А где дежурный?,0
317,А где здесь печать нашего тч где все?,2
318,А где здесь подпись и печать?,0
319,А где начальник поезда который вернул пассажирам этого вонючего гражданина?,2
320,А где печать где росписи где это что?,2
321,А где ты есть?,2
322,А где этот лист?,0
323,А где?,0
324,А главное кто?,2
325,А давай погадаем а?,2
326,А действительно никакого раздраженияни косых взглядов ни лишних замечаний.,1
327,А денег в отпуске получилось сэкономить.,2
328,А деньги гребут за фирменный поезд!!,2
329,А деньги за проезд дерете по полной!,2
330,А длина ее рассчитана видимо на каких-то хоббитов.,2
331,А для чего это нужно?,0
332,А документов у нас нет подтверждение того что посчитать сколько нам денег потратили.,0
333,А если бы вы ему написали как он сказал бумажку за подписью начальника дистанции и как сейчас к вам ходит секретарь подписали бы вы его все мы бы того у вас не имели.,0
334,А если бы мы неделю написали представляете сколько бы мы денег заработали.,2
335,А если бы я не заглянула в компьютер проводника?,2
336,А если вы хотите ага лишь бы так мне сдали человек я на это напишу нет.,2
337,А если кому-то плохо станетони чаем лечить будут?,2
338,А если на моем месте бабушка или взрослая женщина.,2
339,А если он есть то он просто-напросто не пригоден анатомически для людей.,2
340,А если опять?,2
341,А если открыты то туда войти невозможно.,2
342,А если у меня не было денег обратно ?,2
343,А если что можешь остановиться и подойти сюда блин на курку.,0
344,А ехать 2(!!!!!!).,2
345,А ехать ещё 4 часа.,1
346,А еще на сайте пропала возможность возвращать багажные билеты.,2
347,А еще уж которые просто горящие и мне сроки поджимают я их подписываю подписываю а мне ежемесячно ну человек 100 может приходит понимаете?,2
348,А ещё говорят что нужно соблюдать дистанцию что заболеваемость растёт.,2
349,А ж/ дороге побольше таких проводников!,2
350,А за билеты платили ржд!!!!,2
351,А зачем вы вырывали?,0
352,А зачем ты-то по третьему?,0
353,А здесь всё пожалуйста видишь?,0
354,А здесь можно просто посмотреть какой материальный документ который предусматривает... не я сейчас найду я сам найду.,0
355,А значит прибыли на станцию рыбальск?,0
356,А именно данную проводницу я бы уволила по статье.,2
357,А именно лобасова татьяна.,1
358,А именно столько?,0
359,А иногда и выше по стоимости.,2
360,А к пассажирам которые это оставили ну позор !,2
361,А как быть людям с инвалидностью?,2
362,А как же борьба с короновирусом ?,1
363,А как мы взимать деньги будем?,2
364,А как они выходят из соседней станции?,0
365,А как ты думал ёбаный урод?,2
366,А как ты решил эту проблему что тебя не сократили?,0
367,А как я вас сидел слушал два селектора и вы таким отборным матом поливали станцию Щербенко станцию Красный строитель и станцию Бутова.,2
368,А как я потом буду работать?,2
369,А какой путь?,0
370,А километр?,0
371,А когда задали вопрос о возмещении ущерба виноватых не оказалось.,2
372,А когда потеряли?,0
373,А коллеги до сих пор не знают точно кого винить в их смерти.,2
374,А конкретику практически никто не предоставляет.,2
375,А кто вам дал право так говорить?,2
376,А кто может это сделать ?,2
377,А кто не отработал так тот и получать будет выговор.,2
378,А кто тебе сказал что я её буду переводить?,2
379,А куда вы поехали-то?,2
380,А куда дается локомотивная бригада?,0
381,А люди за уборку получают зарплату.,2
382,А машинисты меня не оскорбляют?,2
383,А мне экономист не может до сих пор сделать калькуляцию и найти подверждающий документ на основании какого юридического документа мы там право имеем делать или требовать.,2
384,А мы имеем полное право тоже задавать вопросы.,2
385,А мы это ничего не написали.,0
386,А на московском вокзале дышать не чем.,2
387,А на почту мне пришло письмо что сумка утелизированна!,2
388,А на сколько же он опоздал?,0
389,А на улице не лето!,2
390,А надежде особенная благодарность за непосредственное участие в нашей поездке.,1
391,А нам говорят что все в поездах дезинфицируется.,2
392,А начальник поезда говорит: -.,2
393,А нащеркаться я им выговорю.,0
394,А не вошел.,0
395,А не надо на меня кричать вы что на меня кричите?,2
396,А не то что она просто так написана.,2
397,А нет я не член профсоюза.,2
398,А номер поезда какой у вас был?,0
399,А норма каждый месяц она разная.,0
400,А ну давай его ищи куда он отошел.,2
401,А ну-ка давай давай иди.,2
402,А нужны ли эти люди для замены этой опоры?,0
403,А об основании что?,0
404,А обещали каждые 6 минут пускать электрон мцд.,2
405,А он в принципе я тебе говорю его привести в рабочее состояние вот здесь по идее должен быть ключ управления который блогирует пульт управления а здесь всё пожалуйста видишь?,1
406,А он предусмотрительныйвежливый.,1
407,А она у меня очень стеснительная и пугливая.,1
408,А они на работе без масок и перчаток.,1
409,А от них запаха вообще нет!!,2
410,А открывать ему диспетчер а1?,0
411,А официант быстро рассчитал его  ушёл с концами.,2
412,А пассажирам хочу посоветовать в таких случаях проверять действия проводников.,2
413,А пассажиры ведь едут не один час до калуги.,2
414,А платить за кривой софт мне.....,2
415,А по бэйджику зербакова п.в.,2
416,А по какой причине 22-й маршрут?,2
417,А половину забирать его не буду!,0
418,А получилось хуже обычного вагона.,2
419,А потом уже в суде.,2
420,А почему вы меня назвали клоуном?,2
421,А почему когда?,0
422,А почему мы меняли два дня?,2
423,А почему у вас увеличенный интервал?,2
424,А пригородный вас не скущает 405?,0
425,А проводники чудесные добрые молодые красивые вежливые внимательные люди!,1
426,А просто отвратительный!!!!!,1
427,А результат ноль!!!!!!!,1
428,А ржд знает об этом?,2
429,А руководство не считается с этим.,2
430,А руководство ржд если можно таких работников поощрять.,1
431,А с нами ехали ребёнок подросток и ребёнок 5 лет.,2
432,А с чего началось?,0
433,А самый главный бичь для меня - это постоянные опоздания.,2
434,А сейчас крик души.,2
435,А сейчас надо поездить.,0
436,А сейчас немножко по-другому они озадачили специально уполномочили специальных сотрудников которые там работников которые с этой рейкой ходят и промеряют она как контрольная такая рейка.,2
437,А сейчас просто ужас !,2
438,А скидки студентам только при покупке билета в купе.,2
439,А сколько вагонов дошло?.,0
440,А слева встречный пассажирский поезд.,0
441,А состав сейчас стоит без машиниста?,0
442,А старики а пассажиры с детьми!?,2
443,А стоило ли этого?,2
444,А суд правильно скажет а зачем вы потратили 5 рублей если могли бы потратить и 2?,0
445,А так по средним вагонам 60 скорость максимум.,0
446,А так я и моя семья остались довольны поездкой.,1
447,А также благодарность шигониной людмиле александровне.,1
448,А также отбивание льда на тележке тоже было очень сложно.,0
449,А также спасибо поездному повару за вкусные пироги!).,1
450,А также убирался туалет из этого же ведра.,2
451,А такое чувствочто мини станция.,2
452,А там чисто вот там опять же получилась ситуация там чисто путейские термины.,0
453,А тем более в период пандемии.,1
454,А теперь вот придется...всем сотрудникам ржд.,2
455,А теперь поднимай и туши пульт.,0
456,А то что в наших установках работать нельзя это только... почему?,0
457,А торговый центр который недалеко имеет часы работы.,2
458,А тот билет я якобы смогу сдать после поездки.,1
459,А точнее?,0
460,А трансавтофстабу еще интереснее.,0
461,А тут — пухлые матрасики…!,1
462,А у вас разве была остановка по стаханову?,0
463,А у меня радиостанция говорит не хочу работать.,0
464,А у меня что?,0
465,А у нас до сих пор топливные рейки.,0
466,А у нас сам знаешь судебно-правовая практика в части дискриминации она вообще нулевая.,0
467,А у нас состыковочный билет от москвы до сочи.,1
468,А удостоверение покажите.,0
469,А уж чистота в вагоне просто идеальная.,1
470,А управляющей компании достаточно сарая.,2
471,А утром по полу полилась вода из туалета.,1
472,А цены сопоставимы.,2
473,А циферблата на четыре стороны.,0
474,А чего так плохо едете?,2
475,А человек которому мы предъявляем иск мы ему говорим что мы работали два дня.,0
476,А что вы делали?,0
477,А что вы орали-то на всех?,2
478,А что надо брать?,0
479,А что так плохо едете?,2
480,А что у вас такой нет системы гибдд?,0
481,А что это за ручка?,0
482,А что я по-вашему должен был сделать?,2
483,А чё он ждёт?,2
484,А электричка отошла от 2 платформы.,2
485,А электричка с депо отправляется или с пехасово 1?,0
486,А это - авторы псевдо-экосистемы ржд.,2
487,А это ведь ваши пробелы уважаемое ржд.,2
488,А это рабочие документы.,0
489,А это у нас кто?,0
490,А это уже ценник да тут есть поверьте да.,0
491,А это что было?,0
492,А этого нет.,2
493,А я бы послал туда весь ичс.,2
494,А я была с ребенком.,2
495,А я вас спрашиваю а на основании чего вы это дело рассчитывали?,2
496,А я вижу что я вам подписал ответ. на первом месте стоит экономист.,0
497,А я могу фактически их один-двое суток менять.,0
498,А я не знаю в чем проблема?,0
499,А я не хочу покупать с переплатой!,2
500,А я откуда знаю?,2
501,А я посмотрю насколько качественно вы исполняете свои обязанности.,2
502,А я предприму обязательно.,2
503,А я тебе сказала в пехасово 1 на электричку.,0
504,А я тебе сказала с пехасово у тебя электричка 10-20!,2
505,А я только начал забывать о моей язве.,1
506,А я уже здесь.,0
507,А я?,0
508,А2 желтый скорость 25 км.,0
509,А?,0
510,Автомат в циклочистителе включен. ,0
511,Ага отлично вроде он.,0
512,Ага отлично с коричневой ручкой да?,0
513,Ага так. ,0
514,Адвокат пришел он сказал бы слушайте почему вы здесь потратили 20 литров?,0
